regiao,area,homem,branco,idade,anos_estudo,renda_trabalho,peso
1,3,1,0,51,12,1600,139.03431483
1,3,1,0,26,14,1045,139.03431483
1,3,1,1,55,12,1500,130.67043894
1,3,1,0,24,9,1750,133.18800556
1,3,0,0,40,12,1045,143.80389628
1,3,1,0,41,12,1800,143.80389628
1,3,0,0,22,15,1045,143.80389628
1,3,1,0,20,12,1100,143.80389628
1,3,1,0,62,12,2200,105.74327584
1,3,0,0,47,12,1100,122.36819812
1,3,1,0,44,12,4200,122.36819812
1,3,1,0,60,9,1600,88.24212955
1,3,0,0,57,12,1100,88.24212955
1,3,1,0,37,8,1300,116.63205223
1,3,1,0,30,16,1200,158.8722632
1,3,1,0,58,16,15000,449.9797626
1,3,0,0,32,16,8000,463.90322202
1,3,0,0,55,16,8000,463.90322202
1,3,1,0,48,12,7000,506.16787778
1,3,0,0,46,12,7000,506.16787778
1,2,1,1,67,0,3000,337.02794369
1,2,1,0,26,12,1000,337.02794369
1,2,1,0,21,12,1100,337.02794369
1,2,1,0,53,5,600,240.97970152
1,2,0,0,53,16,4000,223.93064069
1,2,1,1,51,5,5000,277.57675765
1,2,0,1,45,16,3500,277.57675765
1,2,0,0,37,16,5000,308.78236699
1,2,1,0,24,8,2000,531.38079275
1,2,1,0,40,12,3500,304.59167971
1,2,0,0,41,16,5000,304.59167971
1,1,1,0,45,12,1500,126.10127195
1,1,1,0,64,1,1500,104.8661054
1,1,1,1,56,5,800,105.49868334
1,1,1,1,49,5,400,135.82370625
1,1,1,1,41,5,500,160.51809862
1,1,1,0,26,10,1000,213.99283956
1,1,1,0,63,1,700,104.8661054
1,1,1,0,52,7,500,113.31170434
1,1,1,1,47,5,3000,133.08593631
1,1,1,0,34,9,1500,156.06428587
1,1,0,1,32,12,1500,156.06428587
1,1,1,0,21,10,1178,167.40159926
1,1,1,1,38,7,1200,145.58114293
1,1,0,0,31,12,1000,145.58114293
1,1,1,0,67,16,10000,85.36178454
1,1,1,1,62,5,2500,106.09252411
1,1,0,0,50,7,850,95.40769182
1,1,1,1,59,6,300,106.48022893
1,1,1,0,32,12,2500,189.82111383
1,2,0,0,58,12,1500,518.88351053
1,2,1,0,60,6,2090,518.88351053
1,2,1,0,40,12,700,868.58894398
1,2,0,0,58,7,1600,641.25718671
1,2,1,1,46,12,2170,641.25718671
1,2,1,0,34,7,2400,1319.02081248
1,2,1,1,31,8,1200,850.52004971
1,2,0,0,36,12,2000,850.52004971
1,2,1,1,42,4,1500,494.60212043
1,2,1,0,49,6,1300,394.02998901
1,2,0,0,22,16,1100,394.02998901
1,2,0,0,40,12,1100,346.939556
1,3,1,0,73,4,2500,228.04976145
1,3,1,1,25,12,1140,228.04976145
1,3,1,0,28,12,1800,398.27665918
1,3,1,0,43,14,2500,282.54190731
1,3,0,1,43,16,4500,282.54190731
1,3,1,0,21,11,1000,416.93119912
1,3,1,0,43,16,5000,254.30984172
1,3,0,0,42,16,2000,254.30984172
1,3,1,0,51,12,3000,250.06116142
1,3,0,0,41,12,1500,222.74321117
1,3,0,1,44,16,1400,195.92255012
1,2,1,0,23,12,2000,614.2617397400001
1,2,1,0,64,4,100,269.45034687
1,2,0,1,60,5,1040,269.45034687
1,2,1,0,38,12,1100,601.11875997
1,2,1,1,54,5,3000,277.15313299
1,2,0,1,48,16,4200,272.46484646
1,2,1,0,36,6,1550,583.0986987700001
1,2,0,0,21,10,800,583.0986987700001
1,3,0,0,31,10,1196,131.79845713
1,3,1,0,37,7,1000,131.79845713
1,3,1,0,37,13,2100,139.77619407
1,3,0,0,24,12,1200,155.12050483
1,3,1,0,25,12,1800,155.12050483
1,3,0,0,42,16,3300,90.08352223999999
1,3,1,0,43,12,1300,126.9422918
1,3,1,0,27,6,1000,158.79291838
1,3,1,0,38,12,1500,142.82840953
1,3,0,0,33,12,1200,142.82840953
1,3,1,0,32,12,1500,147.11811177
1,3,1,0,44,16,1500,111.09003475
1,1,1,0,22,11,1250,84.16091471999999
1,1,1,0,49,3,1000,84.16091471999999
1,1,1,1,49,5,1250,68.47823756
1,1,1,0,59,4,1200,82.16769718000001
1,1,1,0,65,3,900,57.76323686
1,1,1,1,56,4,1500,62.2591906
1,1,1,1,53,4,1000,67.34329043
1,1,1,0,37,9,1500,86.2422589
1,1,1,0,70,5,1000,62.40267836
1,1,1,1,71,5,3000,111.56426759
1,1,1,1,52,5,2500,134.58128322
1,1,1,0,49,5,3000,151.70170346
1,1,1,1,48,3,1400,142.36740803
1,1,0,0,46,5,1100,142.36740803
1,1,1,0,59,8,2000,146.93626111
1,1,1,0,59,7,2100,108.83607326
1,1,1,1,43,7,2500,180.66007727
1,1,1,0,62,5,2000,103.4034597
1,1,1,0,34,16,9000,262.85536668
1,1,1,1,59,5,2500,109.77601317
1,1,1,0,44,6,2000,141.72275169
1,1,1,0,46,0,2000,113.3024648
1,1,1,1,21,12,1200,120.72858666
1,1,1,0,51,16,800,127.97353024
1,1,0,1,51,11,2666,112.61560979
1,1,1,1,56,9,2666,112.61560979
1,1,1,1,25,16,2666,112.61560979
1,1,1,1,30,5,1400,162.91834175
1,2,1,0,44,5,2500,268.55869087
1,2,1,1,25,8,2000,461.39916065
1,2,0,1,39,16,1500,309.50515932
1,2,1,0,39,12,2000,309.50515932
1,2,0,0,19,12,1200,247.35232712
1,2,1,0,38,12,30000,434.85219865
1,2,0,0,33,16,4300,434.85219865
1,2,1,0,49,12,2000,285.5968351
1,2,0,0,45,12,2000,285.5968351
1,2,0,1,54,12,1400,306.35791134
1,2,1,0,58,6,2600,306.35791134
1,2,1,1,33,8,1300,306.35791134
1,2,1,0,40,12,150,295.9244349
1,2,1,1,38,7,2200,309.50515932
1,2,0,1,38,16,2200,309.50515932
1,3,0,0,64,12,1200,215.05654053
1,3,0,0,19,12,730,250.21056909
1,3,0,0,61,8,1300,275.09450364
1,3,0,0,42,16,4000,360.96581187
1,3,1,0,23,14,1500,360.96581187
1,3,0,0,19,12,1100,360.96581187
1,3,0,1,35,12,1538,305.72881827
1,3,1,0,50,5,2100,381.63542725
1,3,1,0,30,11,1100,381.63542725
1,3,1,0,28,12,600,381.63542725
1,3,1,0,24,12,1100,381.63542725
1,3,0,1,46,12,1500,316.62009096
1,3,1,1,20,8,1500,316.62009096
1,3,1,1,58,12,2100,306.76125318
1,3,1,1,23,7,2200,306.76125318
1,1,1,0,49,0,300,153.36139509
1,1,1,0,59,4,2000,106.6078924
1,1,1,0,51,6,16666,130.29059874
1,1,1,0,66,5,1100,124.97324164
1,1,1,0,37,4,1100,124.97324164
1,1,1,0,18,11,1000,129.3539407
1,1,0,1,56,12,1800,101.28649974
1,1,1,1,56,1,1500,106.6078924
1,1,1,0,30,12,1000,145.61298624
1,1,1,1,47,12,5000,152.11628322
1,1,1,0,32,9,2500,215.48817028
1,2,0,0,25,12,700,449.09248819
1,2,1,0,27,12,1300,449.09248819
1,2,1,1,24,11,1300,257.72089756
1,2,0,1,41,16,2500,289.37820406
1,2,1,0,28,15,1800,289.37820406
1,2,1,0,54,9,1800,256.83476762
1,2,0,0,33,12,1700,304.11957946
1,2,1,1,35,12,3500,304.11957946
1,2,0,0,23,12,500,252.35539928
1,2,1,0,44,5,2500,253.26129554
1,3,0,0,50,12,1100,154.04836176
1,3,1,0,61,12,1100,154.04836176
1,3,1,0,28,9,1200,243.30034552
1,3,0,0,21,11,1200,241.44623344
1,3,1,0,21,13,1200,241.44623344
1,3,1,1,49,12,2600,138.18243858
1,3,0,1,48,12,2000,138.18243858
1,3,0,0,37,16,1900,176.3503982
1,3,1,0,62,9,1200,176.3503982
1,3,1,0,30,12,1600,272.57344071
1,3,0,0,29,12,1195,272.57344071
1,3,1,0,68,12,700,132.64858654
1,3,0,0,60,1,400,146.45826512
1,3,0,0,49,11,1100,184.43139751
1,3,0,0,21,12,1100,224.86590758
1,3,1,0,22,12,1100,224.86590758
1,3,0,0,22,12,1100,224.86590758
1,2,0,1,38,16,2000,144.52337876
1,2,1,1,35,6,2000,202.73349684
1,2,0,0,45,16,3000,151.25058348
1,2,1,0,30,5,4000,261.35117372
1,2,1,0,26,11,2000,318.37451574
1,2,0,1,26,16,2480,236.68416325
1,2,1,1,26,12,1500,236.68416325
1,3,0,0,30,12,500,637.93856461
1,3,1,0,25,7,900,637.93856461
1,3,1,0,28,14,2000,687.71245056
1,3,0,0,39,16,3500,476.8511682
1,3,1,0,56,11,2200,440.97966782
1,3,1,0,26,12,3200,440.97966782
1,3,1,1,65,9,1700,395.97331149
1,3,0,0,31,12,1100,508.27839331
1,2,1,1,21,13,2500,357.81829134
1,2,1,1,63,6,2000,357.81829134
1,2,0,1,56,8,1500,357.81829134
1,2,1,0,48,6,1000,384.5657741
1,2,1,0,27,16,5500,712.45512982
1,2,1,0,37,16,3000,669.20866443
1,2,1,1,49,9,3500,379.44952489
1,2,0,0,42,12,1000,379.44952489
1,3,0,0,62,12,1100,179.43133272
1,3,0,0,48,12,1000,220.42209154
1,3,1,0,30,16,1200,220.42209154
1,3,0,1,27,12,1000,220.42209154
1,3,0,0,46,16,4000,245.45028198
1,3,1,0,47,16,3000,245.45028198
1,3,1,0,36,11,1500,245.45028198
1,3,1,0,58,7,1270,213.98958302
1,3,0,0,33,16,5000,197.34609849
1,3,0,0,54,5,10000,215.88456044
1,3,0,0,25,16,5000,215.88456044
1,3,1,0,63,11,1100,214.87826096
1,2,1,1,48,5,1174,514.20085304
1,2,0,0,38,15,1200,555.59801809
1,2,1,0,39,9,3000,555.59801809
1,2,0,1,43,9,1100,591.6718461
1,2,1,1,51,5,1100,591.6718461
1,2,1,0,24,10,1500,756.38930772
1,2,0,0,20,12,1500,756.38930772
1,2,1,1,25,16,1500,780.59974042
1,2,0,1,23,16,1000,780.59974042
1,2,1,0,27,11,1200,928.76333311
1,2,1,0,41,6,2000,521.56550568
1,2,0,0,19,12,1045,521.56550568
1,2,1,0,25,13,3000,899.95758157
1,2,1,0,24,7,1500,899.95758157
1,2,0,0,26,15,1200,580.57529055
1,2,1,0,19,10,1100,580.57529055
1,1,1,0,37,5,2000,136.10852907
1,1,1,0,43,16,500,97.61333442
1,1,1,0,50,4,4000,93.37786939
1,1,1,0,42,12,3300,123.26898343
1,1,1,0,22,12,1600,123.26898343
1,1,1,1,35,6,8000,157.87227781
1,1,0,0,16,10,450,110.42131845
1,1,1,0,26,3,1300,179.47550918
1,3,1,0,40,16,2000,194.58488059
1,3,0,1,36,12,1500,194.58488059
1,3,0,0,33,12,1500,221.15561931
1,3,0,0,51,14,1300,233.48056006
1,3,1,0,36,1,1400,233.48056006
1,3,1,0,28,12,1100,233.48056006
1,3,1,0,34,14,2000,280.14619084
1,3,0,1,24,12,1200,280.14619084
1,3,1,0,26,12,1241,213.67020939
1,3,1,0,41,12,2800,171.46552776
1,3,1,0,59,8,1500,185.19016207
1,3,0,0,44,4,1100,189.01436956
1,3,1,0,40,5,1100,189.01436956
1,3,1,0,37,12,1500,195.58885553
1,3,0,0,37,15,1200,195.58885553
1,3,0,1,30,13,3000,322.61791602
1,3,1,0,49,12,1300,322.61791602
1,3,1,0,30,16,2000,399.96064509
1,3,1,0,46,12,2000,306.69757295
1,3,0,0,53,12,1039,306.69757295
1,3,1,0,24,15,1121,306.69757295
1,3,1,0,36,16,5000,382.92432386
1,3,0,0,21,13,2000,382.92432386
1,3,1,1,59,2,5000,270.68882598
1,3,1,0,37,12,1000,353.96422173
1,3,1,0,47,16,4000,353.96422173
1,3,1,1,27,12,1200,510.89146103
1,1,1,1,65,4,5000,1206.85221801
1,1,1,0,62,5,1500,968.93908606
1,2,1,0,32,12,1600,332.07767595
1,2,1,0,68,5,15000,119.84723591
1,2,0,1,43,16,3800,111.08322408
1,2,0,1,26,10,1300,221.20906453
1,2,1,1,38,12,3500,196.72724434
1,2,0,0,52,12,1500,168.918666
1,2,0,1,32,16,1700,323.41151779
1,2,1,1,31,15,3000,323.41151779
1,2,0,1,36,11,3000,185.88866903
1,2,1,0,36,12,1700,185.88866903
1,2,0,1,58,5,200,100.65869632
1,2,1,0,23,12,1400,261.70424569
1,2,0,1,28,12,1100,261.70424569
1,2,0,0,39,10,1600,141.42532633
1,2,1,1,41,12,2100,233.18633424
1,2,0,0,38,12,1500,159.80240224
1,2,1,1,29,8,2300,339.89615447
1,2,1,0,32,12,2500,270.1788516
1,2,1,0,32,12,2000,201.22565872
